user_id,registered_time,country_code
6184936,2023-01-29 16:17:17.843502+01:00,GB
6264057,2023-02-07 19:02:41.585439+01:00,CU
5993230,2023-01-10 20:36:11.105080+01:00,BD
6209389,2023-02-01 18:22:22.899987+01:00,GR
6066178,2023-01-17 17:01:09.590550+01:00,TR
5926448,2023-01-02 16:45:17.818897+01:00,EG
5937528,2023-01-03 22:40:37.275736+01:00,RU
5959684,2023-01-06 14:04:24.331077+01:00,IN
6074017,2023-01-18 12:12:33.509283+01:00,HU
5917271,2023-01-01 14:30:14.692810+01:00,GB
6013722,2023-01-12 18:21:14.710977+01:00,IN
5989759,2023-01-10 14:01:45.561755+01:00,CZ
5988947,2023-01-10 12:13:22.304945+01:00,SY
5944260,2023-01-04 19:22:26.991473+01:00,GH
6161111,2023-01-26 22:33:46.122362+01:00,RU
6194265,2023-01-30 19:19:36.811438+01:00,RO
6270296,2023-02-08 15:34:42.309422+01:00,IQ
6244221,2023-02-05 12:42:43.890257+01:00,IN
6206345,2023-02-01 12:35:16.116104+01:00,AF
6157294,2023-01-26 16:44:03.642378+01:00,US
6131032,2023-01-24 13:07:08.020879+01:00,IN
5963233,2023-01-06 20:06:14.662722+01:00,TR
6002403,2023-01-11 21:04:39.053053+01:00,BR
6165837,2023-01-27 12:55:10.850100+01:00,JO
5954264,2023-01-05 20:48:18.966806+01:00,US
5940939,2023-01-04 13:03:23.463721+01:00,AF
6074226,2023-01-18 12:33:14.145600+01:00,DE
6165967,2023-01-27 13:04:46.866022+01:00,PK
6175700,2023-01-28 13:41:49.457238+01:00,ID
6281721,2023-02-09 18:37:20.195921+01:00,PK
6026608,2023-01-13 18:52:59.335581+01:00,AT
6016093,2023-01-12 20:52:40.368819+01:00,TR
6107594,2023-01-21 17:19:19.902313+01:00,IN
5926796,2023-01-02 17:22:48.437148+01:00,DE
6268951,2023-02-08 13:01:42.864157+01:00,IN
5928617,2023-01-02 20:33:06.869025+01:00,US
6155217,2023-01-26 13:14:45.568240+01:00,RU
5925913,2023-01-02 15:46:52.285740+01:00,AF
6155094,2023-01-26 13:02:43.064901+01:00,US
6199767,2023-01-31 14:54:13.919708+01:00,IN
6253724,2023-02-06 15:30:11.495685+01:00,IN
6235806,2023-02-04 13:23:05.308620+01:00,CZ
5928359,2023-01-02 20:06:13.838498+01:00,RU
6049643,2023-01-16 02:30:42.383566+01:00,IN
6123430,2023-01-23 14:41:04.923165+01:00,GB
5934812,2023-01-03 17:19:19.919122+01:00,ID
6306579,2023-02-12 13:02:04.866765+01:00,ID
6122997,2023-01-23 13:45:55.769283+01:00,PL
6104954,2023-01-21 12:22:44.932120+01:00,AF
6052974,2023-01-16 13:17:21.225218+01:00,AR
5981523,2023-01-09 13:08:53.805672+01:00,PH
6166969,2023-01-27 14:32:34.798218+01:00,ID
6217697,2023-02-02 16:14:37.811690+01:00,CZ
6111322,2023-01-22 06:01:41.414796+01:00,IN
6244463,2023-02-05 13:12:00.103269+01:00,DE
6291952,2023-02-10 19:16:00.839123+01:00,IN
6107237,2023-01-21 16:39:11.821716+01:00,AF
6157838,2023-01-26 17:28:59.354410+01:00,RU
5982234,2023-01-09 14:45:43.033308+01:00,RO
6126496,2023-01-23 19:51:53.426451+01:00,TR
6131010,2023-01-24 13:04:27.918094+01:00,NP
5966889,2023-01-07 12:08:03.229526+01:00,BG
5921001,2023-01-01 21:38:40.127089+01:00,US
6053787,2023-01-16 14:43:35.854602+01:00,ID
5920572,2023-01-01 20:42:47.273707+01:00,PL
6134982,2023-01-24 19:56:13.231287+01:00,TR
